| Name                      | Version              | License                                                 |
|---------------------------|----------------------|---------------------------------------------------------|
| Automat                   | 0.8.0                | MIT License                                             |
| Brotli                    | 1.0.9                | MIT License                                             |
| Flask                     | 2.0.1                | BSD License                                             |
| Flask-Compress            | 1.10.1               | MIT License                                             |
| Jinja2                    | 3.0.1                | BSD License                                             |
| MarkupSafe                | 2.0.1                | BSD License                                             |
| PyGObject                 | 3.36.0               | GNU Lesser General Public License v2 or later (LGPLv2+) |
| PyHamcrest                | 1.9.0                | BSD License                                             |
| PyJWT                     | 1.7.1                | MIT License                                             |
| PyNaCl                    | 1.3.0                | Apache License 2.0                                      |
| PyYAML                    | 5.3.1                | MIT License                                             |
| SecretStorage             | 2.3.1                | BSD License                                             |
| Twisted                   | 18.9.0               | MIT                                                     |
| Werkzeug                  | 2.0.1                | BSD License                                             |
| attrs                     | 19.3.0               | MIT License                                             |
| blinker                   | 1.4                  | MIT License                                             |
| certifi                   | 2019.11.28           | Mozilla Public License 2.0 (MPL 2.0)                    |
| chardet                   | 3.0.4                | GNU Library or Lesser General Public License (LGPL)     |
| click                     | 8.0.1                | BSD License                                             |
| cloud-init                | 20.1                 | Dual-licensed under GPLv3 or Apache 2.0                 |
| colorama                  | 0.4.4                | BSD License                                             |
| command-not-found         | 0.3                  | UNKNOWN                                                 |
| configobj                 | 5.0.6                | BSD License                                             |
| constantly                | 15.1.0               | MIT License                                             |
| cryptography              | 2.8                  | Apache Software License; BSD License                    |
| dash                      | 2.0.0rc2             | MIT License                                             |
| dash-bootstrap-components | 0.13.0               | Apache Software License                                 |
| dash-core-components      | 2.0.0rc1             | MIT                                                     |
| dash-html-components      | 2.0.0rc1             | MIT                                                     |
| dash-renderer             | 1.9.1                | MIT                                                     |
| dash-table                | 5.0.0rc1             | MIT                                                     |
| dbus-python               | 1.2.16               | MIT License                                             |
| distro                    | 1.4.0                | Apache Software License                                 |
| distro-info               | 0.23ubuntu1          | UNKNOWN                                                 |
| entrypoints               | 0.3                  | MIT License                                             |
| future                    | 0.18.2               | MIT License                                             |
| gunicorn                  | 20.1.0               | MIT License                                             |
| httplib2                  | 0.14.0               | MIT License                                             |
| hyperlink                 | 19.0.0               | MIT                                                     |
| idna                      | 2.8                  | BSD License                                             |
| importlib-metadata        | 1.5.0                | Apache Software License                                 |
| incremental               | 16.10.1              | MIT License                                             |
| itsdangerous              | 2.0.1                | BSD License                                             |
| jsonpatch                 | 1.22                 | BSD License                                             |
| jsonpointer               | 2.0                  | BSD License                                             |
| jsonschema                | 3.2.0                | MIT License                                             |
| keyring                   | 18.0.1               | MIT License; Python Software Foundation License         |
| language-selector         | 0.1                  | UNKNOWN                                                 |
| launchpadlib              | 1.10.13              | GNU Library or Lesser General Public License (LGPL)     |
| lazr.restfulclient        | 0.14.2               | GNU Library or Lesser General Public License (LGPL)     |
| lazr.uri                  | 1.0.3                | GNU Library or Lesser General Public License (LGPL)     |
| more-itertools            | 4.2.0                | MIT License                                             |
| netifaces                 | 0.10.4               | MIT License                                             |
| numpy                     | 1.21.2               | BSD License                                             |
| oauthlib                  | 3.1.0                | BSD License                                             |
| pandas                    | 1.3.2                | BSD License                                             |
| pep517                    | 0.11.0               | MIT License                                             |
| pip-tools                 | 6.2.0                | BSD License                                             |
| plotly                    | 5.2.2                | MIT                                                     |
| pyOpenSSL                 | 19.0.0               | Apache Software License                                 |
| pyasn1                    | 0.4.2                | BSD License                                             |
| pyasn1-modules            | 0.2.1                | BSD License                                             |
| pymacaroons               | 0.13.0               | MIT License                                             |
| pyrsistent                | 0.15.5               | MIT License                                             |
| pyserial                  | 3.4                  | BSD License                                             |
| python-apt                | 2.0.0+ubuntu0.20.4.3 | GNU GPL                                                 |
| python-dateutil           | 2.8.2                | Apache Software License; BSD License                    |
| python-debian             | 0.1.36ubuntu1        | UNKNOWN                                                 |
| pytz                      | 2021.1               | MIT License                                             |
| requests                  | 2.22.0               | Apache Software License                                 |
| requests-unixsocket       | 0.2.0                | Apache Software License                                 |
| service-identity          | 18.1.0               | MIT License                                             |
| simplejson                | 3.16.0               | Academic Free License (AFL); MIT License                |
| six                       | 1.16.0               | MIT License                                             |
| ssh-import-id             | 5.10                 | GPLv3                                                   |
| systemd-python            | 234                  | GNU Lesser General Public License v2 or later (LGPLv2+) |
| tenacity                  | 8.0.1                | Apache Software License                                 |
| tomli                     | 1.2.1                | MIT License                                             |
| ubuntu-advantage-tools    | 20.3                 | GPLv3                                                   |
| ufw                       | 0.36                 | GPL-3                                                   |
| unattended-upgrades       | 0.1                  | UNKNOWN                                                 |
| urllib3                   | 1.25.8               | MIT License                                             |
| wadllib                   | 1.3.3                | GNU Library or Lesser General Public License (LGPL)     |
| zipp                      | 1.0.0                | MIT License                                             |
| zope.interface            | 4.7.1                | Zope Public License                                     |
